	Report:		ida*-bfs-vs-ss-bfs - using ipdb heuristic - 1000 probes.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
10		1			1
23		2			2
33		3			3
36		4			3.98
45		5			5.098
46		7			7.003
48		9			9.165
49		11			10.816
50		12			11.668
56		13			12.586
58		15			15.07
59		20			20.428
61		22			21.754
62		28			29.026
63		31			31.24
67		32			32.362
69		36			36.322
71		42			42.4
72		46			46.24
74		51			51.088
75		62			64.384
76		69			66.628
79		71			72.466
80		76			86.428
82		91			95.578
83		93			97.78
84		103			96.49
85		118			110.758
86		122			132.028
87		132			145.072
88		159			172.108
89		173			186.4
90		174			191.692
91		176			226.036
92		184			175.132
93		197			194.53
94		207			208.12
95		227			243.274
96		229			229.366
97		265			298.396
98		294			300.796
99		310			276.346
100		334			288.304
101		385			311.974
102		419			420.958
103		426			425.872
104		434			466.168
105		472			481.918
106		498			487.096
107		511			541.798
108		572			686.986
109		595			562.072
110		643			762.694
111		721			780.37
112		738			814.738
113		774			700.336
114		903			866.794
115		956			867.832
116		1000			949.3
117		1029			905.794
118		1104			1056.95
119		1167			1603.92
120		1244			1337.7
121		1352			1532.5
122		1414			1781.06
123		1574			1497.03
124		1727			1775.37
125		1827			1831.45
126		1945			1905.23
127		2186			2260.2
128		2364			2602.01
129		2448			2260.38
130		2515			2445.96
131		2735			3428.12
132		2865			3837.3
133		3036			3415.82
134		3360			3420.74
135		3557			2570.16
136		3819			3274.46
137		4270			4091.9
138		4434			4434.41
139		4704			3868.97
140		5338			4852.01
141		5610			6305.61
142		5898			6076.55
143		6195			5011.22
144		6617			5891.87
145		6986			5820.5
146		7383			9967.4
147		7988			7546.25
148		8449			8873.02
149		9199			11993.1
150		10086			10171.7
151		10654			11750.9
152		11401			12775.6
153		12571			16062.5
154		13631			13834.3
155		14230			12783.6
156		14826			14963.5
157		15972			13948.3
158		16786			14624.9
159		17845			14001.9
160		19676			16881.6
161		20871			19542.8
162		22417			15931.3
163		24718			38480.8
164		25914			61293
165		27658			28709.9
166		30775			43714.4
167		32545			28467.9
168		34274			31099.4
169		36266			26915.2
170		38635			34639.1
171		41109			28602.7
172		43533			59101
173		47194			42045.7
174		50099			43736.8
175		54158			52649.3
176		59228			93938
177		63123			83594.5
178		67495			73039.9
179		73587			83848.8
180		78899			66483.1
181		82996			61626.4
182		87129			83717.2
183		94049			81918
184		99135			103876
185		105077			88742.9
186		115161			102672
187		121776			247573
188		131796			114694
189		144300			84260.6
190		152174			154995
191		161798			171013
192		177059			156935
193		187971			137948
194		199596			175619
195		211778			181484
196		226020			258748
197		240075			825373
198		255257			283585
199		277101			349835
200		296708			394188
201		320279			221157
202		350407			348271
203		373477			602577
204		410523			395421
205		445204			336101
206		527983			966252
207		554754			372667
208		789519			1.2726e+06
209		829494			842918
210		1.69824e+06			1.46571e+06
211		1.74342e+06			1.57404e+06
212		5.14673e+06			826573
213		5.21374e+06			3.77255e+06
214		1.86413e+07			1.70583e+07
215		1.88237e+07			623855
216		7.23566e+07			4.64305e+07
